RANK,TIME,FULL NAME,FOREIGN,AGE,LSC,EVENT,TEAM NAME,MEET NAME,TIME STANDARD,RESULTS,COMPETITION YEAR
21,51.31,"Daniel, Abby",,20,LE,100 FL SCY,Firestone Akron Swim Team,2023 Zippy Invitational,2024 Summer Nationals (LCM),PROG.,2024
23,51.32,"Zenick, Katherine",,22,OH,100 FL SCY,Ohio State University,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
23,51.32,"Grana, Miranda",Yes,19,US,100 FL SCY,Unattached,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
25,51.38,"Hayon, Arielle",Yes,20,GU,100 FL SCY,Rice University,2024 American Athletic Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
26,51.39,"Longi, Ava",,21,ST,100 FL SCY,University of Texas,Texas Invitational,2024 Summer Nationals (LCM),PROG.,2024
27,51.48,"Famous, Caroline",,22,US,100 FL SCY,Unattached,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
27,51.48,"Ulett, Tristen",,21,KY,100 FL SCY,University of Louisville,Notre Dame Last Chance,2024 Summer Nationals (LCM),PROG.,2024
29,51.49,"Brophy, Morgan",,20,PC,100 FL SCY,Neptune Swimming,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
30,51.57,"Ozkan, Aleyna",Yes,22,US,100 FL SCY,Unattached,2024 Atlantic Coast Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
31,51.58,"Parkhe, Annika",,18,IL,100 FL SCY,Patriot Aquatic Club,2023 Speedo Winter Junior Championships - West,2024 Summer Nationals (LCM),PROG.,2024
32,51.6,"Novelline, Carly",,20,US,100 FL SCY,Unattached,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
33,51.61,"Heimstead, Julia",,21,AZ,100 FL SCY,Arizona Elite,Minnesota Invitational,2024 Summer Nationals (LCM),PROG.,2024
34,51.62,"Kraus, Morgan",,22,OH,100 FL SCY,Ohio State University,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
34,51.62,"Boardman, Mena",,15,OR,100 FL SCY,Unattached,2024 NE OB NEPSAC Div 1 Champs,2024 Summer Nationals (LCM),PROG.,2024
36,51.68,"Van Brunt, Gaby",,18,US,100 FL SCY,Unattached,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
37,51.7,"Raymond, Victoria",Yes,18,US,100 FL SCY,Unattached,2024 American Athletic Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
38,51.72,"Kendall, Brady",,19,MI,100 FL SCY,Univ. Of Michigan Swim Team,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
39,51.76,"Bell, Lucy",,19,PC,100 FL SCY,Alto Swim Club,Cal vs. Stanford (Women),2024 Summer Nationals (LCM),PROG.,2024
40,51.77,"Pelzek, Greta",,21,US,100 FL SCY,Unattached,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
41,51.78,"Williams, Taylor",,21,MV,100 FL SCY,U. of Missouri,Mizzou Qualifier,2024 Summer Nationals (LCM),PROG.,2024
42,51.81,"Theall, Olivia",,22,GU,100 FL SCY,Texas A & M University,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
43,51.83,"Halden, Jenny",Yes,23,US,100 FL SCY,Unattached,Auburn Invitational,2024 Summer Nationals (LCM),PROG.,2024
43,51.83,"Barrett, Karoline",Yes,21,US,100 FL SCY,Unattached,Louisville Invitational,2024 Summer Nationals (LCM),PROG.,2024
45,51.86,"Harter, Abby",,22,VA,100 FL SCY,University Of Virginia,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
46,51.87,"Walsh, Alex",,22,VA,100 FL SCY,Unattached,UF vs Virginia,2024 Summer Nationals (LCM),PROG.,2024
47,51.88,"Kan, Natalie",,21,US,100 FL SCY,Unattached,2024 Women's B1G Championships,2024 Summer Nationals (LCM),PROG.,2024
48,51.89,"Hook, Charlotte",,20,PC,100 FL SCY,Alto Swim Club,2024 Women's PAC 12 Championships,2024 Summer Nationals (LCM),PROG.,2024
49,51.93,"Cook, Lizzy",,21,US,100 FL SCY,Unattached,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
50,51.94,"Klinker, Rachel",,23,PC,100 FL SCY,California Aquatics,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
51,51.98,"Harrison, Tristan",,21,OH,100 FL SCY,Ohio State University,Women's Last Chance,2024 Summer Nationals (LCM),PROG.,2024
52,51.99,"Boemer, Anna",,18,MI,100 FL SCY,Univ. Of Michigan Swim Team,2024 Women's B1G Championships,2024 Summer Nationals (LCM),PROG.,2024
53,52.01,"Delgado, Anicka",Yes,21,CA,100 FL SCY,Evolution Racing Club,2024 Women's PAC 12 Championships,2024 Summer Nationals (LCM),PROG.,2024
54,52.05,"Sasseville, Genevieve",Yes,21,CA,100 FL SCY,Trojan Swim Club,2024 Women's PAC 12 Championships,2024 Summer Nationals (LCM),PROG.,2024
54,52.05,"Pelaez, Erika",,17,FG,100 FL SCY,Eagle Aquatics,2023 FG 33rd Annual Speedo Winter Championships,2024 Summer Nationals (LCM),PROG.,2024
56,52.07,"Stone, Mckenna",,20,US,100 FL SCY,Unattached,California vs. Arizona State,2024 Summer Nationals (LCM),PROG.,2024
57,52.08,"Zhang, Kelsey",,16,PC,100 FL SCY,Palo Alto Stanford Aquatics,2024 SI CSTE Senior Classic,2024 Summer Nationals (LCM),PROG.,2024
58,52.09,"Sims, Bella",,18,FL,100 FL SCY,University of Florida,UF vs Virginia,2024 Summer Nationals (LCM),PROG.,2024
59,52.1,"Toh, Nicholle",Yes,22,SC,100 FL SCY,Gamecock Aquatics,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
60,52.15,"Larsen, Caroline",,17,MN,100 FL SCY,Foxjets Swim Team,2023 Speedo Winter Junior Championships - West,2024 Summer Nationals (LCM),PROG.,2024
61,52.16,"O'Dell, Teagan",,17,CA,100 FL SCY,Mission Viejo Nadadores,2023 Speedo Winter Junior Championships - West,2024 Summer Nationals (LCM),PROG.,2024
61,52.16,"Stotler, Sara",,20,SE,100 FL SCY,University Of Tennessee,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
63,52.17,"Bacon, Phoebe",,21,WI,100 FL SCY,Wisconsin Aquatics,NU VS. Wisconsin,2024 Summer Nationals (LCM),PROG.,2024
64,52.23,"Jernstedt, Edith",Yes,22,US,100 FL SCY,Unattached,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
65,52.24,"Sweeney, Molly",,16,IN,100 FL SCY,Carmel Swim Club,2023 Speedo Winter Junior Championships - East,2024 Summer Nationals (LCM),PROG.,2024
66,52.26,"Stoll, Campbell",,18,ST,100 FL SCY,University of Texas,Texas Invitational,2024 Summer Nationals (LCM),PROG.,2024
67,52.29,"Waldrep, Ellie",,21,SE,100 FL SCY,Auburn University,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
68,52.31,"Schalow, Maggie",,19,VA,100 FL SCY,Unattached,Tennessee Invitational,2024 Summer Nationals (LCM),PROG.,2024
69,52.32,"Becerra Quintanilla, Valentina",Yes,22,NT,100 FL SCY,Dallas Mustangs,2024 American Athletic Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
70,52.33,"Welch, Ella",,20,KY,100 FL SCY,University of Louisville,IU vs Louisville vs Wisconsin,2024 Summer Nationals (LCM),PROG.,2024
71,52.36,"Bokros, Blanka",,23,US,100 FL SCY,Unattached,2024 Mountain West Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
72,52.38,"Peroni, Martina",,20,US,100 FL SCY,Unattached,2024 Atlantic Coast Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
73,52.41,"Sheehan, Miriam",Yes,19,NC,100 FL SCY,NC State University,2024 Atlantic Coast Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
74,52.46,"Gingrich, Leah",,33,MA,100 FL SCY,Keystone Aquatics,2023 MA KA Thanksgiving A/BB/C Invitational,2024 Summer Nationals (LCM),PROG.,2024
75,52.47,"Coe, Angie",,19,US,100 FL SCY,Unattached,Texas Invitational,2024 Summer Nationals (LCM),PROG.,2024
75,52.47,"Jablonski, Ella",,17,PN,100 FL SCY,Seattle Metropolitan Aquatic Club,2023 PN 2023 Washington State Senior Short Course Champs,2024 Summer Nationals (LCM),PROG.,2024
77,52.48,"Ficken, Lawson",,19,SE,100 FL SCY,Auburn University,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
78,52.49,"Runnels, Aris",,20,FL,100 FL SCY,University of Florida,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
79,52.52,"Cothern, Bella",,22,AR,100 FL SCY,University Of Arkansas Swimming,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
80,52.53,"Klinginsmith, Lillian",Yes,19,US,100 FL SCY,Unattached,2024 Women's Ivy League Championships,2024 Summer Nationals (LCM),PROG.,2024
81,52.54,"Maksimova, Sofia",Yes,22,US,100 FL SCY,Unattached,2024 Western Athletic Conference Championships,2024 Summer Nationals (LCM),PROG.,2024
81,52.54,"Baron, Sam",,21,US,100 FL SCY,Unattached,Cavalier Invite,2024 Summer Nationals (LCM),PROG.,2024
83,52.55,"Lu, Sydney",,19,PC,100 FL SCY,Pleasanton Seahawks,2024 Women's Ivy League Championships,2024 Summer Nationals (LCM),PROG.,2024
83,52.55,"Hayes, Leah",,18,IL,100 FL SCY,Fox Valley Park District Riptides,2023 IL FMC HSC Speedo Grand Challenge,2024 Summer Nationals (LCM),PROG.,2024
85,52.57,"Sabotin, Rachel",,22,LE,100 FL SCY,Firestone Akron Swim Team,Women's Last Chance,2024 Summer Nationals (LCM),PROG.,2024
86,52.59,"Burt, Maddy",,21,US,100 FL SCY,Unattached,2024 Women's PAC 12 Championships,2024 Summer Nationals (LCM),PROG.,2024
87,52.6,"Smithwick, Heidi",,20,US,100 FL SCY,Unattached,2024 Women's Ivy League Championships,2024 Summer Nationals (LCM),PROG.,2024
87,52.6,"Hartman, Bailey",,17,PC,100 FL SCY,Crow Canyon Sharks,2023 Speedo Winter Junior Championships - West,2024 Summer Nationals (LCM),PROG.,2024
89,52.62,"Tierney, Hailey",,18,WI,100 FL SCY,Wisconsin Aquatics,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
90,52.64,"Looney, Lindsay",,22,AZ,100 FL SCY,Sun Devil Swimming,NC State GAC Invitational,2024 Summer Nationals (LCM),PROG.,2024
90,52.64,"Gibbons, Abigail",,21,SE,100 FL SCY,Auburn University,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
92,52.68,"Irwin, Caroline",,21,US,100 FL SCY,Unattached,2024 Patriot League Championships,2024 Summer Nationals (LCM),PROG.,2024
92,52.68,"Striley, Paige",,20,MV,100 FL SCY,U. of Missouri,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
94,52.69,"Brown, Emily",,17,OH,100 FL SCY,Unattached,2024 LE OHSAA State Championships D1,2024 Summer Nationals (LCM),PROG.,2024
94,52.69,"Chavez, Ava",,18,SN,100 FL SCY,Sierra Marlins Swim Team,Minnesota Invitational,2024 Summer Nationals (LCM),PROG.,2024
96,52.7,"Spielmann, Montse",,17,ST,100 FL SCY,Unattached,2024 ST OB UIL 6A State Swimming & Diving Championships,2024 Summer Nationals (LCM),PROG.,2024
96,52.7,"Heilen, Sophia",,19,VA,100 FL SCY,Tribe Aquatics,WVU Invite,2024 Summer Nationals (LCM),PROG.,2024
96,52.7,"Wizard, Betsy",Yes,20,US,100 FL SCY,Unattached,2024 NCAA Division I Women's Championships,2024 Summer Nationals (LCM),PROG.,2024
99,52.71,"Carteaux, Morgan",,19,SE,100 FL SCY,Auburn University,2024 Southeastern Conference Champs,2024 Summer Nationals (LCM),PROG.,2024
100,52.72,"Snowden, Cameron",,19,NC,100 FL SCY,University of North Carolina Wilmington,2024 Coastal Athletic Association Championships,2024 Summer Nationals (LCM),PROG.,2024
1,48.46,"Douglass, Kate",,21,VA,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
2,48.51,"MacNeil, Maggie",Yes,23,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
3,48.96,"Huske, Torri",,20,PC,100 FL SCY,Alto Swim Club,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
4,49.34,"Walsh, Gretchen",,20,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
5,49.79,"Sticklen, Emma",,20,US,100 FL SCY,Unattached,TEX vs NCS Friday,2023 Summer Nationals (LCM),PROG.,2023
6,49.93,"Curzan, Claire",,18,NC,100 FL SCY,TAC Titans,NC State GAC Invitational,2023 Summer Nationals (LCM),PROG.,2023
7,50.04,"Albiero, Gabi",,21,KY,100 FL SCY,University of Louisville,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
8,50.07,"Bray, Olivia",,21,US,100 FL SCY,Unattached,2023 Big 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
9,50.44,"Alons, Kylee",,23,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
10,50.6,"Arens, Abby",,21,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
11,50.84,"Zenick, Katherine",,21,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
12,50.89,"Shackell, Alex",,16,IN,100 FL SCY,Unattached,2023 IN OBS IN IHSAA Girls State Champs,2023 Summer Nationals (LCM),PROG.,2023
13,50.91,"Guevara, Miriam",Yes,22,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
14,50.96,"Shackley, Leah",,16,AM,100 FL SCY,Blair Regional YMCA,2023 NC YMCA National Short Course Championships,2023 Summer Nationals (LCM),PROG.,2023
15,51.01,"Lee, Meghan",,21,SE,100 FL SCY,Auburn Aquatics,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
15,51.01,"Nelson, Beata",,24,WI,100 FL SCY,Wisconsin Aquatics,2023 WI SSTY A+ MEET,2023 Summer Nationals (LCM),PROG.,2023
15,51.01,"Pash, Kelly",,21,ST,100 FL SCY,University of Texas,Minnesota Invite,2023 Summer Nationals (LCM),PROG.,2023
18,51.03,"Regenauer, Christiana",,21,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
19,51.1,"McIntosh, Summer",Yes,16,FL,100 FL SCY,Sarasota Sharks,2022 Speedo Winter Juniors East,2023 Summer Nationals (LCM),PROG.,2023
20,51.18,"Cuomo, Lexi",,21,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
20,51.18,"Ulett, Tristen",,20,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
22,51.2,"Wilhelm, Kiley",Yes,18,NC,100 FL SCY,Unattached,2023 NC NCHSAA 4A State Championships,2023 Summer Nationals (LCM),PROG.,2023
23,51.25,"Theall, Olivia",,21,GU,100 FL SCY,Texas A & M University,Art Adamson Invitational 2022,2023 Summer Nationals (LCM),PROG.,2023
24,51.38,"Kragh, Mia",,19,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
25,51.47,"White, Rhyan",,23,SE,100 FL SCY,University Of Alabama Swim Club,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
26,51.52,"Sims, Bella",,17,CA,100 FL SCY,Sandpipers Of Nevada,2022 CA SCS/RMDA WZ Winter Sectionals,2023 Summer Nationals (LCM),PROG.,2023
26,51.52,"Crush, Charlotte",,14,KY,100 FL SCY,Lakeside Swim Team,2022 Speedo Winter Juniors East,2023 Summer Nationals (LCM),PROG.,2023
28,51.58,"Kraus, Morgan",,21,US,100 FL SCY,Unattached,2023 Women's Big Ten Championships,2023 Summer Nationals (LCM),PROG.,2023
29,51.59,"Vannote, Ellie",,21,NC,100 FL SCY,University Of North Carolina,UNC vs Duke,2023 Summer Nationals (LCM),PROG.,2023
30,51.6,"Russo, Catherine",,20,US,100 FL SCY,Unattached,Women Last Chance NCAA Qualifier 2023,2023 Summer Nationals (LCM),PROG.,2023
31,51.62,"Peoples, Olivia",,19,FL,100 FL SCY,University of Florida,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
32,51.65,"Daniel, Abby",,19,US,100 FL SCY,Unattached,2023 Women's Mid-American Conference Championships,2023 Summer Nationals (LCM),PROG.,2023
32,51.65,"Stoll, Campbell",,17,WI,100 FL SCY,Elmbrook Swim Club,2023 FL NCSA Swimming Championships,2023 Summer Nationals (LCM),PROG.,2023
34,51.67,"Hay, Abby",,21,US,100 FL SCY,Unattached,LOUISVILLE INVITATIONAL,2023 Summer Nationals (LCM),PROG.,2023
34,51.67,"Sheehan, Miriam",Yes,18,IA,100 FL SCY,Dubuque Area Swimmin' Hurricanes,2023 IA Short Course Championships,2023 Summer Nationals (LCM),PROG.,2023
36,51.69,"Sim, Levenia",Yes,16,SE,100 FL SCY,TNT Swimming,2023 FL NCSA Swimming Championships,2023 Summer Nationals (LCM),PROG.,2023
37,51.71,"Harter, Abby",,21,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
38,51.73,"Gillilan, Coleen",,21,US,100 FL SCY,Unattached,2023 Tim Welsh Classic,2023 Summer Nationals (LCM),PROG.,2023
39,51.77,"Sansores De La Fuente, Andrea",Yes,23,AR,100 FL SCY,University Of Arkansas Swimmin,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
40,51.78,"Luther, Dakota",,23,ST,100 FL SCY,University of Texas,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
41,51.84,"Kan, Natalie",,20,US,100 FL SCY,Unattached,2023 Boiler-Make-It Qualification Championship,2023 Summer Nationals (LCM),PROG.,2023
42,51.85,"Dang, Gabby",,22,US,100 FL SCY,Unattached,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
43,51.87,"Stotler, Sara",,19,SE,100 FL SCY,University Of Tennessee,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
44,51.89,"Toh, Nicholle",Yes,21,US,100 FL SCY,Unattached,Bulldog NCAA Qualifying Meet 2023,2023 Summer Nationals (LCM),PROG.,2023
45,51.91,"Walsh, Alex",,21,US,100 FL SCY,Unattached,Virginia vs Virginia Tech,2023 Summer Nationals (LCM),PROG.,2023
46,51.92,"Novelline, Carly",,19,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
47,51.95,"Venema, Nikki",,22,US,100 FL SCY,Unattached,2023 Women's Ivy League Championships,2023 Summer Nationals (LCM),PROG.,2023
47,51.95,"Jia, Annie",,15,MA,100 FL SCY,Upper Dublin Aquatic Club,2022 Speedo Winter Juniors East,2023 Summer Nationals (LCM),PROG.,2023
49,52.01,"Hayon, Arielle",Yes,19,US,100 FL SCY,Unattached,2023 AAC Championships,2023 Summer Nationals (LCM),PROG.,2023
49,52.01,"Longi, Ava",,20,US,100 FL SCY,Unattached,2023 Big 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
51,52.02,"Dickinson, Callie",,23,US,100 FL SCY,Unattached,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
52,52.03,"Delgado, Anicka",Yes,20,US,100 FL SCY,Unattached,University of Utah at University of Southern California,2023 Summer Nationals (LCM),PROG.,2023
52,52.03,"Heimstead, Julia",,20,US,100 FL SCY,Unattached,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
52,52.03,"Noble, Kennedy",,19,NC,100 FL SCY,Wolfpack Elite,2023 AZ PSC End of Summer SCY,2023 Summer Nationals (LCM),PROG.,2023
55,52.05,"Jablonski, Ella",,16,PN,100 FL SCY,Seattle Metropolitan Aquatic Club,2022 PN WIAA 3A Girls State Champs,2023 Summer Nationals (LCM),PROG.,2023
56,52.07,"Mack, Linnea",,26,HI,100 FL SCY,Unattached,2022 HI Fall SR Short Course Championships,2023 Summer Nationals (LCM),PROG.,2023
56,52.07,"Jump, Mallory",,21,US,100 FL SCY,Unattached,2023 Boiler-Make-It Qualification Championship,2023 Summer Nationals (LCM),PROG.,2023
58,52.08,"Alonso, Luana",Yes,18,US,100 FL SCY,Unattached,2023 AAC Championships,2023 Summer Nationals (LCM),PROG.,2023
59,52.09,"Looney, Lindsay",,21,AZ,100 FL SCY,Sun Devil Swimming,NC State GAC Invitational,2023 Summer Nationals (LCM),PROG.,2023
60,52.1,"Runnels, Aris",,19,FL,100 FL SCY,University of Florida,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
61,52.12,"Pelaez, Erika",,16,FG,100 FL SCY,Unattached,2022 FL FHSAA Class 1A State Swimming Championships,2023 Summer Nationals (LCM),PROG.,2023
62,52.13,"Parkhe, Annika",,17,IL,100 FL SCY,Unattached,2022 IL IHSA Girls State Championship,2023 Summer Nationals (LCM),PROG.,2023
63,52.2,"Williams, Taylor",,20,MV,100 FL SCY,U. of Missouri,SEC Championships Time Trials,2023 Summer Nationals (LCM),PROG.,2023
63,52.2,"Burt, Maddy",,20,FL,100 FL SCY,Swim Florida,Minnesota Invite,2023 Summer Nationals (LCM),PROG.,2023
65,52.21,"O'Dell, Teagan",,16,CA,100 FL SCY,Unattached,2023 CA OB CIF-SS Trinity League,2023 Summer Nationals (LCM),PROG.,2023
66,52.22,"Larsen, Caroline",,16,MN,100 FL SCY,Foxjets Swim Team,2023 FL NCSA Swimming Championships,2023 Summer Nationals (LCM),PROG.,2023
67,52.23,"Kern, Emma",,17,MN,100 FL SCY,Aquajets Swim Team,2022 Speedo Winter Juniors West,2023 Summer Nationals (LCM),PROG.,2023
68,52.24,"Howley, Tess",,18,MR,100 FL SCY,Long Island Aquatic Club,2023 MR TYR Senior Mets SCY Championships,2023 Summer Nationals (LCM),PROG.,2023
69,52.26,"Brooks, Caitlin",,22,US,100 FL SCY,Unattached,SEC Championships Time Trials,2023 Summer Nationals (LCM),PROG.,2023
69,52.26,"Scott, Morgan",Yes,22,SE,100 FL SCY,University Of Alabama Swim Club,Art Adamson Invitational 2022,2023 Summer Nationals (LCM),PROG.,2023
71,52.27,"Kendall, Brady",,18,US,100 FL SCY,Unattached,2023 Boiler-Make-It Qualification Championship,2023 Summer Nationals (LCM),PROG.,2023
72,52.28,"Jones, Emily",Yes,19,US,100 FL SCY,Unattached,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
73,52.31,"Lu, Sydney",,18,PC,100 FL SCY,Pleasanton Seahawks,2023 Women's Ivy League Championships,2023 Summer Nationals (LCM),PROG.,2023
73,52.31,"Harrison, Tristan",,20,US,100 FL SCY,Unattached,2023 Women's Big Ten Championships,2023 Summer Nationals (LCM),PROG.,2023
75,52.32,"Franz, Karisa",,21,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
76,52.33,"Baron, Sam",,20,US,100 FL SCY,Unattached,Cavalier Invite,2023 Summer Nationals (LCM),PROG.,2023
76,52.33,"McConagha, Mackenzie",,20,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
78,52.34,"Cook, Lizzy",,20,US,100 FL SCY,Unattached,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
79,52.36,"Whitaker, Ava",,18,GU,100 FL SCY,Unattached,2023 ST OB UIL 5A State Swimming & Diving Championship,2023 Summer Nationals (LCM),PROG.,2023
80,52.37,"Barrett, Karoline",Yes,20,US,100 FL SCY,Unattached,LOUISVILLE LAST CHANCE,2023 Summer Nationals (LCM),PROG.,2023
